DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
4, 90.0, 0.0, 0.0, 80.0
5, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
2, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
2, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
2, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
4, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
4, 90.0, 0.0, 0.0, 80.0
4, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
6, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
4, 90.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
4, 90.0, 0.0, 0.0, 80.0
4, 85.0, 0.0, 0.0, 80.0
4, 80.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 85.0, 0.0, 0.0, 80.0
3, 80.0, 0.0, 0.0, 80.0
