DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk
;;;;
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
4; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
4; 100.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
4; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
3; 100.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
2; 95.0; 0.0; 0.0; 80.0
