Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 65.0, 35.0, 38.0, 50.0, N
4, 70.0, 35.0, 30.5, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 60.0, 42.5, 47.0, 50.0, N
3, 60.0, 35.0, 47.0, 50.0, N
4, 65.0, 35.0, 39.5, 50.0, DU
5, 70.0, 27.5, 35.0, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, R
2, 70.0, 20.0, 35.0, 50.0, N
3, 75.0, 12.5, 30.5, 50.0, N
4, 75.0, 20.0, 30.5, 50.0, N
5, 70.0, 27.5, 35.0, 50.0, DU
6, 75.0, 20.0, 30.5, 50.0, N
1, 45.0, 57.5, 57.5, 50.0, N
2, 50.0, 50.0, 53.0, 50.0, N
3, 50.0, 57.5, 53.0, 50.0, DU
4, 55.0, 50.0, 48.5, 50.0, Q
5, 60.0, 42.5, 44.0, 50.0, N
6, 65.0, 42.5, 36.5, 50.0, DU
7, 70.0, 35.0, 32.0, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 65.0, 20.0, 38.0, 50.0, N
4, 60.0, 27.5, 42.5, 50.0, N
1, 55.0, 50.0, 50.0, 50.0, N
2, 55.0, 57.5, 54.5, 50.0, N
3, 60.0, 50.0, 50.0, 50.0, N
4, 55.0, 57.5, 54.5, 50.0, N
1, 45.0, 57.5, 57.5, 50.0, Q
2, 55.0, 42.5, 50.0, 50.0, N
3, 55.0, 50.0, 54.5, 50.0, N
4, 55.0, 57.5, 54.5, 50.0, DU
5, 60.0, 50.0, 50.0, 50.0, R
6, 65.0, 42.5, 45.5, 50.0, N
7, 70.0, 42.5, 38.0, 50.0, N
1, 45.0, 57.5, 57.5, 50.0, N
2, 45.0, 65.0, 62.0, 50.0, Q
3, 50.0, 57.5, 57.5, 50.0, DU
