DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

5, 35.0, 62.0, 63.79999999999999, 80.0
6, 55.0, 35.0, 45.8, 80.0
6, 45.0, 35.0, 58.39999999999999, 80.0
5, 30.0, 62.0, 76.4, 80.0
8, 60.0, 35.0, 40.4, 80.0
4, 40.0, 62.0, 56.599999999999994, 80.0
5, 40.0, 44.0, 60.199999999999996, 80.0
6, 30.0, 71.0, 80.0, 80.0
5, 45.0, 53.0, 60.199999999999996, 80.0
10, 70.0, 26.0, 36.80000000000001, 80.0
7, 60.0, 26.0, 40.4, 80.0
5, 50.0, 44.0, 47.6, 80.0
5, 40.0, 44.0, 60.199999999999996, 80.0
5, 35.0, 53.0, 71.0, 80.0
6, 40.0, 53.0, 63.79999999999999, 80.0
4, 25.0, 89.0, 80.0, 80.0
7, 55.0, 17.0, 40.4, 80.0
5, 30.0, 80.0, 76.4, 80.0
7, 45.0, 35.0, 65.6, 80.0
6, 50.0, 35.0, 52.99999999999999, 80.0
4, 40.0, 53.0, 65.6, 80.0
5, 40.0, 80.0, 67.4, 80.0
5, 50.0, 35.0, 54.8, 80.0
4, 35.0, 53.0, 69.19999999999999, 80.0
4, 35.0, 80.0, 65.6, 80.0
5, 45.0, 44.0, 54.8, 80.0
9, 45.0, 53.0, 65.6, 80.0
4, 40.0, 53.0, 63.79999999999999, 80.0
10, 80.0, 0.0, 20.60000000000001, 80.0
4, 30.0, 71.0, 71.0, 80.0
6, 45.0, 62.0, 56.599999999999994, 80.0
9, 60.0, 17.0, 44.0, 80.0
5, 45.0, 26.0, 54.8, 80.0
6, 55.0, 17.0, 42.2, 80.0
6, 35.0, 62.0, 72.79999999999998, 80.0
5, 45.0, 62.0, 56.599999999999994, 80.0
7, 35.0, 62.0, 69.19999999999999, 80.0
9, 60.0, 8.0, 42.199999999999996, 80.0
7, 60.0, 17.0, 40.400000000000006, 80.0
9, 60.0, 17.0, 47.60000000000001, 80.0
7, 55.0, 35.0, 40.4, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 25.0, 71.0, 78.19999999999999, 80.0
5, 40.0, 53.0, 62.0, 80.0
6, 45.0, 35.0, 56.599999999999994, 80.0
6, 45.0, 53.0, 62.0, 80.0
5, 25.0, 62.0, 80.0, 80.0
7, 55.0, 35.0, 54.8, 80.0
6, 35.0, 53.0, 69.19999999999999, 80.0
5, 20.0, 71.0, 83.6, 80.0
9, 65.0, 0.0, 33.2, 80.0
5, 35.0, 71.0, 65.6, 80.0
4, 45.0, 44.0, 51.199999999999996, 80.0
7, 35.0, 80.0, 69.19999999999999, 80.0
5, 40.0, 44.0, 60.199999999999996, 80.0
6, 40.0, 53.0, 60.199999999999996, 80.0
6, 45.0, 35.0, 60.199999999999996, 80.0
6, 50.0, 26.0, 54.8, 80.0
5, 35.0, 53.0, 65.6, 80.0
5, 45.0, 53.0, 65.6, 80.0
5, 35.0, 62.0, 69.19999999999999, 80.0
6, 55.0, 26.0, 40.4, 80.0
4, 35.0, 80.0, 65.6, 80.0
6, 35.0, 53.0, 69.19999999999999, 80.0
5, 40.0, 44.0, 63.79999999999999, 80.0
7, 60.0, 26.0, 42.20000000000001, 80.0
6, 45.0, 35.0, 54.8, 80.0
7, 50.0, 35.0, 51.2, 80.0
5, 50.0, 44.0, 47.6, 80.0
4, 40.0, 35.0, 60.199999999999996, 80.0
4, 20.0, 89.0, 90.80000000000001, 80.0
4, 45.0, 44.0, 51.199999999999996, 80.0
6, 45.0, 44.0, 54.79999999999999, 80.0
6, 50.0, 35.0, 51.199999999999996, 80.0
6, 40.0, 35.0, 63.79999999999999, 80.0
6, 30.0, 71.0, 80.0, 80.0
8, 70.0, 0.0, 26.000000000000007, 80.0
8, 75.0, 0.0, 31.400000000000006, 80.0
5, 35.0, 44.0, 65.6, 80.0
6, 35.0, 53.0, 69.19999999999999, 80.0
11, 55.0, 35.0, 54.8, 80.0
5, 45.0, 53.0, 51.199999999999996, 80.0
5, 30.0, 71.0, 76.4, 80.0
6, 40.0, 35.0, 63.79999999999999, 80.0
6, 50.0, 35.0, 56.6, 80.0
5, 40.0, 53.0, 62.0, 80.0
5, 30.0, 62.0, 74.6, 80.0
7, 55.0, 26.0, 49.4, 80.0
6, 50.0, 35.0, 53.00000000000001, 80.0
7, 55.0, 35.0, 49.4, 80.0
6, 50.0, 53.0, 51.199999999999996, 80.0
8, 50.0, 35.0, 49.4, 80.0
6, 55.0, 26.0, 45.800000000000004, 80.0
5, 40.0, 53.0, 62.0, 80.0
5, 35.0, 80.0, 74.6, 80.0
4, 40.0, 53.0, 60.199999999999996, 80.0
5, 55.0, 26.0, 42.2, 80.0
5, 50.0, 44.0, 51.199999999999996, 80.0
6, 25.0, 80.0, 83.6, 80.0
6, 55.0, 17.0, 44.0, 80.0
