DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk
;;;;
4; 95.0; 11.0; 5.5; 80.0
4; 85.0; 5.5; 5.5; 80.0
6; 95.0; 5.5; 5.5; 80.0
4; 80.0; 5.5; 11.0; 80.0
4; 85.0; 16.5; 16.5; 80.0
6; 90.0; 22.0; 16.5; 80.0
4; 80.0; 16.5; 16.5; 80.0
6; 95.0; 11.0; 5.5; 80.0
4; 95.0; 0.0; 0.0; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 75.0; 22.0; 16.5; 80.0
6; 80.0; 27.5; 22.0; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
8; 75.0; 44.0; 44.0; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 85.0; 16.5; 16.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 70.0; 27.5; 27.5; 80.0
4; 80.0; 5.5; 11.0; 80.0
6; 75.0; 16.5; 22.0; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 90.0; 0.0; 0.0; 80.0
4; 95.0; 0.0; 0.0; 80.0
4; 85.0; 16.5; 16.5; 80.0
4; 85.0; 16.5; 16.5; 80.0
4; 80.0; 5.5; 11.0; 80.0
4; 75.0; 16.5; 16.5; 80.0
4; 80.0; 5.5; 11.0; 80.0
4; 90.0; 11.0; 5.5; 80.0
6; 80.0; 27.5; 27.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 65.0; 27.5; 27.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 90.0; 0.0; 0.0; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 90.0; 0.0; 0.0; 80.0
4; 90.0; 0.0; 0.0; 80.0
4; 80.0; 22.0; 16.5; 80.0
4; 75.0; 16.5; 16.5; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 80.0; 5.5; 11.0; 80.0
4; 70.0; 27.5; 27.5; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 65.0; 27.5; 27.5; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
8; 70.0; 44.0; 44.0; 80.0
6; 95.0; 22.0; 11.0; 80.0
4; 80.0; 5.5; 11.0; 80.0
4; 80.0; 5.5; 11.0; 80.0
4; 85.0; 16.5; 16.5; 80.0
6; 90.0; 11.0; 11.0; 80.0
4; 95.0; 0.0; 0.0; 80.0
4; 90.0; 11.0; 5.5; 80.0
6; 95.0; 22.0; 16.5; 80.0
4; 80.0; 5.5; 11.0; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 85.0; 16.5; 16.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 80.0; 5.5; 11.0; 80.0
6; 80.0; 27.5; 27.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 85.0; 16.5; 16.5; 80.0
4; 85.0; 16.5; 16.5; 80.0
8; 80.0; 27.5; 22.0; 80.0
4; 80.0; 22.0; 16.5; 80.0
4; 85.0; 16.5; 16.5; 80.0
6; 65.0; 38.5; 33.0; 80.0
6; 80.0; 27.5; 27.5; 80.0
2; 95.0; 0.0; 0.0; 80.0
6; 95.0; 22.0; 11.0; 80.0
4; 90.0; 0.0; 0.0; 80.0
6; 90.0; 22.0; 16.5; 80.0
6; 90.0; 5.5; 5.5; 80.0
4; 85.0; 16.5; 16.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
6; 80.0; 16.5; 16.5; 80.0
4; 75.0; 22.0; 16.5; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
6; 100.0; 11.0; 5.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
4; 65.0; 27.5; 27.5; 80.0
4; 90.0; 0.0; 0.0; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 80.0; 16.5; 16.5; 80.0
4; 95.0; 11.0; 5.5; 80.0
4; 90.0; 11.0; 5.5; 80.0
6; 90.0; 11.0; 5.5; 80.0
4; 80.0; 22.0; 16.5; 80.0
6; 80.0; 27.5; 27.5; 80.0
4; 90.0; 0.0; 0.0; 80.0
4; 80.0; 16.5; 16.5; 80.0
