DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

4, 55.0, 57.5, 57.5, 50.0
6, 60.0, 65.0, 65.0, 50.0
6, 65.0, 50.0, 50.0, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 60.0, 50.0, 50.0, 50.0
6, 50.0, 72.5, 80.0, 50.0
4, 60.0, 50.0, 50.0, 50.0
6, 55.0, 72.5, 72.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
2, 50.0, 65.0, 57.5, 50.0
6, 55.0, 65.0, 65.0, 50.0
20, 5.0, 100.0, 100.0, 50.0
2, 50.0, 65.0, 57.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
6, 65.0, 65.0, 57.5, 50.0
4, 50.0, 57.5, 65.0, 50.0
4, 55.0, 57.5, 57.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
6, 65.0, 65.0, 50.0, 50.0
6, 55.0, 72.5, 72.5, 50.0
2, 40.0, 72.5, 72.5, 50.0
2, 40.0, 72.5, 72.5, 50.0
4, 45.0, 80.0, 72.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 50.0, 57.5, 65.0, 50.0
4, 55.0, 65.0, 57.5, 50.0
8, 65.0, 65.0, 57.5, 50.0
4, 50.0, 57.5, 65.0, 50.0
8, 40.0, 95.0, 100.0, 50.0
6, 65.0, 42.5, 50.0, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 60.0, 50.0, 50.0, 50.0
4, 60.0, 50.0, 50.0, 50.0
6, 60.0, 57.5, 65.0, 50.0
6, 65.0, 65.0, 57.5, 50.0
2, 40.0, 72.5, 72.5, 50.0
6, 65.0, 65.0, 57.5, 50.0
2, 50.0, 65.0, 57.5, 50.0
6, 45.0, 72.5, 80.0, 50.0
4, 45.0, 80.0, 72.5, 50.0
8, 60.0, 72.5, 65.0, 50.0
2, 40.0, 72.5, 72.5, 50.0
4, 60.0, 50.0, 50.0, 50.0
4, 50.0, 72.5, 72.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
8, 45.0, 80.0, 87.5, 50.0
4, 50.0, 57.5, 65.0, 50.0
8, 55.0, 72.5, 72.5, 50.0
6, 50.0, 72.5, 80.0, 50.0
2, 50.0, 65.0, 57.5, 50.0
6, 75.0, 50.0, 42.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
6, 70.0, 50.0, 50.0, 50.0
2, 50.0, 65.0, 57.5, 50.0
4, 60.0, 50.0, 50.0, 50.0
2, 40.0, 72.5, 72.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
2, 50.0, 65.0, 57.5, 50.0
2, 50.0, 65.0, 57.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
2, 40.0, 72.5, 72.5, 50.0
10, 45.0, 100.0, 95.0, 50.0
8, 90.0, 35.0, 27.5, 50.0
4, 50.0, 57.5, 65.0, 50.0
4, 50.0, 57.5, 65.0, 50.0
4, 50.0, 57.5, 65.0, 50.0
6, 65.0, 65.0, 57.5, 50.0
8, 60.0, 72.5, 72.5, 50.0
6, 65.0, 57.5, 57.5, 50.0
2, 40.0, 72.5, 72.5, 50.0
4, 55.0, 57.5, 57.5, 50.0
2, 60.0, 35.0, 42.5, 50.0
2, 40.0, 72.5, 72.5, 50.0
8, 55.0, 72.5, 80.0, 50.0
4, 65.0, 50.0, 42.5, 50.0
6, 50.0, 72.5, 72.5, 50.0
2, 40.0, 72.5, 72.5, 50.0
6, 55.0, 72.5, 72.5, 50.0
8, 75.0, 57.5, 57.5, 50.0
8, 70.0, 42.5, 57.5, 50.0
6, 55.0, 65.0, 65.0, 50.0
4, 50.0, 57.5, 65.0, 50.0
6, 55.0, 57.5, 65.0, 50.0
8, 55.0, 57.5, 72.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 35.0, 87.5, 87.5, 50.0
6, 65.0, 42.5, 50.0, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 65.0, 50.0, 42.5, 50.0
4, 60.0, 65.0, 57.5, 50.0
4, 50.0, 80.0, 72.5, 50.0
2, 60.0, 35.0, 42.5, 50.0
4, 50.0, 57.5, 65.0, 50.0
4, 50.0, 57.5, 65.0, 50.0
2, 50.0, 65.0, 57.5, 50.0
