Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
1, 20.0, 80.0, 80.0, 80.0, R
2, 20.0, 71.0, 80.0, 80.0, N
3, 20.0, 71.0, 80.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, DU
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, N
1, 20.0, 71.0, 80.0, 80.0, N
2, 25.0, 80.0, 89.0, 80.0, Q
3, 25.0, 80.0, 89.0, 80.0, R
4, 25.0, 80.0, 89.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, N
2, 25.0, 89.0, 89.0, 80.0, N
3, 25.0, 89.0, 89.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, R
2, 25.0, 89.0, 89.0, 80.0, N
3, 25.0, 89.0, 89.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 80.0, 80.0, 80.0, Q
3, 20.0, 80.0, 80.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, R
2, 20.0, 80.0, 80.0, 80.0, DU
3, 20.0, 80.0, 80.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, R
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, Q
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, DU
1, 20.0, 71.0, 80.0, 80.0, R
2, 20.0, 71.0, 80.0, 80.0, Q
3, 25.0, 80.0, 89.0, 80.0, DU
4, 25.0, 80.0, 89.0, 80.0, END
1, 20.0, 80.0, 80.0, 80.0, R
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, DU
1, 20.0, 80.0, 80.0, 80.0, DU
2, 20.0, 71.0, 80.0, 80.0, N
3, 20.0, 71.0, 80.0, 80.0, R
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 80.0, 80.0, 80.0, DU
3, 20.0, 80.0, 80.0, 80.0, R
1, 20.0, 80.0, 80.0, 80.0, DU
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, DU
1, 25.0, 89.0, 89.0, 80.0, N
2, 25.0, 89.0, 89.0, 80.0, R
3, 25.0, 89.0, 89.0, 80.0, N
1, 25.0, 89.0, 89.0, 80.0, N
2, 25.0, 89.0, 89.0, 80.0, R
3, 25.0, 89.0, 89.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, R
2, 20.0, 80.0, 80.0, 80.0, END
1, 20.0, 80.0, 80.0, 80.0, R
2, 20.0, 71.0, 80.0, 80.0, N
3, 20.0, 71.0, 80.0, 80.0, N
1, 20.0, 71.0, 80.0, 80.0, R
2, 25.0, 80.0, 89.0, 80.0, Q
3, 25.0, 80.0, 89.0, 80.0, N
4, 25.0, 71.0, 89.0, 80.0, Q
5, 25.0, 71.0, 89.0, 80.0, N
6, 25.0, 71.0, 89.0, 80.0, R
1, 20.0, 71.0, 80.0, 80.0, Q
2, 20.0, 71.0, 80.0, 80.0, N
3, 20.0, 71.0, 80.0, 80.0, DU
4, 20.0, 71.0, 80.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, N
1, 20.0, 71.0, 80.0, 80.0, N
2, 20.0, 71.0, 80.0, 80.0, DU
3, 20.0, 71.0, 80.0, 80.0, N
1, 25.0, 89.0, 89.0, 80.0, DU
2, 30.0, 98.0, 98.0, 80.0, N
3, 30.0, 89.0, 98.0, 80.0, N
4, 30.0, 89.0, 98.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 80.0, 80.0, 80.0, DU
3, 20.0, 80.0, 80.0, 80.0, N
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 71.0, 80.0, 80.0, R
3, 20.0, 62.0, 80.0, 80.0, N
4, 20.0, 62.0, 80.0, 80.0, N
1, 25.0, 89.0, 89.0, 80.0, N
2, 25.0, 89.0, 89.0, 80.0, N
3, 25.0, 89.0, 89.0, 80.0, DU
1, 20.0, 80.0, 80.0, 80.0, N
2, 20.0, 80.0, 80.0, 80.0, N
3, 20.0, 80.0, 80.0, 80.0, N
1, 25.0, 89.0, 89.0, 80.0, DU
2, 30.0, 98.0, 98.0, 80.0, R
3, 30.0, 98.0, 98.0, 80.0, DU
4, 30.0, 89.0, 98.0, 80.0, N
5, 30.0, 89.0, 98.0, 80.0, N
1, 25.0, 89.0, 89.0, 80.0, N
2, 25.0, 89.0, 89.0, 80.0, R
3, 25.0, 89.0, 89.0, 80.0, N
1, 25.0, 89.0, 89.0, 80.0, DU
2, 25.0, 80.0, 89.0, 80.0, N
3, 25.0, 80.0, 89.0, 80.0, DU
4, 25.0, 80.0, 89.0, 80.0, R
1, 25.0, 89.0, 89.0, 80.0, R
2, 30.0, 98.0, 98.0, 80.0, N
3, 30.0, 89.0, 98.0, 80.0, DU
