Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
1; 15.0; 98.0; 89.0; 80.0; N;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; DU;;2; 70.0; 16.5; 16.5; 80.0; Q;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 10.0; 100.0; 100.0; 80.0; END;;3; 80.0; 11.0; 11.0; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; Q
4; 5.0; 100.0; 100.0; 80.0; N;;4; 80.0; 5.5; 11.0; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; N
5; 15.0; 91.0; 91.0; 80.0; N;;1; 90.0; 0.0; 0.0; 80.0; Q;;;5; 50.0; 65.0; 65.0; 50.0; DU
6; 15.0; 82.0; 91.0; 80.0; N;;2; 90.0; 0.0; 0.0; 80.0; N;;;6; 45.0; 72.5; 80.0; 50.0; END
1; 30.0; 71.0; 71.0; 80.0; R;;3; 85.0; 11.0; 5.5; 80.0; Q;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; N;;4; 80.0; 16.5; 16.5; 80.0; DU;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 25.0; 80.0; 80.0; 80.0; R;;5; 75.0; 27.5; 22.0; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; DU
4; 20.0; 89.0; 98.0; 80.0; DU;;6; 70.0; 33.0; 33.0; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; END
5; 15.0; 100.0; 100.0; 80.0; END;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; N
6; 10.0; 100.0; 100.0; 80.0; DU;;2; 70.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; DU
7; 5.0; 100.0; 100.0; 80.0; N;;3; 70.0; 22.0; 16.5; 80.0; N;;;3; 50.0; 65.0; 65.0; 50.0; N
8; 0.0; 100.0; 100.0; 80.0; N;;4; 65.0; 27.5; 27.5; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; N;;2; 90.0; 0.0; 0.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 25.0; 80.0; 80.0; 80.0; N;;3; 85.0; 11.0; 5.5; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; N
4; 20.0; 89.0; 98.0; 80.0; N;;4; 80.0; 16.5; 16.5; 80.0; DU;;;4; 50.0; 57.5; 65.0; 50.0; DU
1; 30.0; 71.0; 71.0; 80.0; N;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; N;;2; 90.0; 0.0; 0.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; DU
3; 25.0; 80.0; 80.0; 80.0; R;;3; 85.0; 11.0; 5.5; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; N
4; 20.0; 89.0; 98.0; 80.0; END;;4; 80.0; 16.5; 16.5; 80.0; Q;;;4; 50.0; 57.5; 65.0; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; DU;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; END;;2; 70.0; 16.5; 16.5; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; DU;;3; 80.0; 11.0; 11.0; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; END;;4; 80.0; 5.5; 11.0; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; DU
1; 15.0; 98.0; 89.0; 80.0; N;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 10.0; 100.0; 100.0; 80.0; R;;2; 90.0; 0.0; 0.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; N;;3; 85.0; 11.0; 5.5; 80.0; DU;;;3; 55.0; 50.0; 50.0; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; N;;4; 80.0; 16.5; 16.5; 80.0; END;;;4; 50.0; 57.5; 65.0; 50.0; DU
1; 30.0; 71.0; 71.0; 80.0; N;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; Q;;2; 70.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; DU
3; 25.0; 80.0; 80.0; 80.0; END;;3; 80.0; 11.0; 11.0; 80.0; N;;;3; 50.0; 65.0; 65.0; 50.0; N
4; 20.0; 89.0; 98.0; 80.0; DU;;4; 80.0; 5.5; 11.0; 80.0; DU;;;4; 50.0; 57.5; 65.0; 50.0; DU
5; 15.0; 100.0; 100.0; 80.0; END;;1; 90.0; 0.0; 0.0; 80.0; N;;;5; 50.0; 65.0; 65.0; 50.0; N
6; 10.0; 100.0; 100.0; 80.0; DU;;2; 90.0; 0.0; 0.0; 80.0; N;;;6; 45.0; 72.5; 80.0; 50.0; DU
7; 5.0; 100.0; 100.0; 80.0; END;;3; 85.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
8; 0.0; 100.0; 100.0; 80.0; DU;;4; 80.0; 16.5; 16.5; 80.0; R;;;2; 40.0; 72.5; 72.5; 50.0; END
9; 0.0; 100.0; 100.0; 80.0; R;;1; 75.0; 11.0; 5.5; 80.0; DU;;;1; 45.0; 65.0; 57.5; 50.0; N
10; 0.0; 100.0; 100.0; 80.0; DU;;2; 70.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; DU
11; 0.0; 100.0; 100.0; 80.0; END;;3; 80.0; 11.0; 11.0; 80.0; N;;;3; 40.0; 80.0; 72.5; 50.0; R
12; 0.0; 100.0; 100.0; 80.0; N;;4; 80.0; 5.5; 11.0; 80.0; N;;;4; 35.0; 87.5; 87.5; 50.0; Q
13; 0.0; 100.0; 100.0; 80.0; N;;1; 75.0; 11.0; 5.5; 80.0; DU;;;5; 35.0; 95.0; 87.5; 50.0; N
14; 0.0; 100.0; 100.0; 80.0; N;;2; 70.0; 16.5; 16.5; 80.0; N;;;6; 30.0; 100.0; 100.0; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;3; 80.0; 11.0; 11.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; N;;4; 80.0; 5.5; 11.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 25.0; 80.0; 80.0; 80.0; N;;1; 90.0; 0.0; 0.0; 80.0; N;;;3; 55.0; 50.0; 50.0; 50.0; N
4; 20.0; 89.0; 98.0; 80.0; N;;2; 90.0; 0.0; 0.0; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; Q
1; 15.0; 98.0; 89.0; 80.0; Q;;3; 85.0; 11.0; 5.5; 80.0; R;;;1; 45.0; 65.0; 57.5; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; DU;;4; 80.0; 16.5; 16.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; END
3; 5.0; 100.0; 100.0; 80.0; N;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
