Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
1; 60.0; 42.5; 42.5; 50.0; DU
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; Q
4; 50.0; 57.5; 65.0; 50.0; N
5; 50.0; 65.0; 65.0; 50.0; DU
6; 45.0; 72.5; 80.0; 50.0; END
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; DU
4; 50.0; 57.5; 65.0; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; DU
3; 50.0; 65.0; 65.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; DU
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; DU
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; DU
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; DU
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; DU
3; 50.0; 65.0; 65.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; DU
5; 50.0; 65.0; 65.0; 50.0; N
6; 45.0; 72.5; 80.0; 50.0; DU
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; DU
3; 40.0; 80.0; 72.5; 50.0; R
4; 35.0; 87.5; 87.5; 50.0; Q
5; 35.0; 95.0; 87.5; 50.0; N
6; 30.0; 100.0; 100.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; Q
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; END
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; DU
4; 50.0; 57.5; 65.0; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; N
3; 40.0; 80.0; 72.5; 50.0; DU
4; 35.0; 87.5; 87.5; 50.0; END
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; DU
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; END
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; DU
4; 50.0; 57.5; 65.0; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; N
3; 40.0; 80.0; 72.5; 50.0; DU
4; 35.0; 87.5; 87.5; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; DU
3; 40.0; 80.0; 72.5; 50.0; END
4; 35.0; 87.5; 87.5; 50.0; N
5; 45.0; 80.0; 80.0; 50.0; DU
6; 45.0; 72.5; 80.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; DU
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; N
3; 40.0; 80.0; 72.5; 50.0; DU
4; 35.0; 87.5; 87.5; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; N
