DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk
;;;;;;;;;;;;;;;;
6;15;82;91;80;;4;80;5,5;11;80;;6;45;72,5;80;50
8;0;100;100;80;;6;70;33;33;80;;4;50;57,5;65;50
4;20;89;98;80;;4;65;27,5;27,5;80;;4;50;57,5;65;50
4;20;89;98;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
2;10;100;100;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
2;10;100;100;80;;4;80;5,5;11;80;;4;50;57,5;65;50
4;20;82;91;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
14;0;100;100;80;;4;80;5,5;11;80;;6;45;72,5;80;50
4;20;89;98;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
6;0;100;100;80;;4;80;5,5;11;80;;6;30;100;100;50
6;15;82;91;80;;4;80;5,5;11;80;;4;50;57,5;65;50
4;20;89;98;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
6;15;100;100;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
4;20;82;91;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
4;20;89;98;80;;4;80;5,5;11;80;;4;35;87,5;87,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
4;20;89;98;80;;6;75;27,5;27,5;80;;2;40;72,5;72,5;50
10;5;100;100;80;;4;80;5,5;11;80;;4;50;57,5;65;50
4;20;89;98;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
4;20;89;98;80;;4;80;5,5;11;80;;4;35;87,5;87,5;50
6;10;100;100;80;;4;80;16,5;16,5;80;;6;45;72,5;80;50
4;20;89;98;80;;4;65;27,5;27,5;80;;4;50;57,5;65;50
8;0;100;100;80;;4;65;27,5;27,5;80;;4;35;87,5;87,5;50
8;5;100;100;80;;4;80;5,5;11;80;;6;45;72,5;80;50
6;15;100;100;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
6;15;82;91;80;;4;65;27,5;27,5;80;;4;50;57,5;65;50
8;20;91;100;80;;4;65;27,5;27,5;80;;8;55;57,5;72,5;50
2;10;100;100;80;;4;80;5,5;11;80;;6;45;72,5;80;50
4;20;82;91;80;;4;80;5,5;11;80;;4;50;57,5;65;50
6;10;100;100;80;;4;80;5,5;11;80;;8;40;87,5;95;50
4;20;89;98;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
4;20;89;98;80;;4;65;27,5;27,5;80;;8;40;87,5;95;50
8;0;100;100;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;10;50;72,5;87,5;50
10;0;100;100;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
4;20;89;98;80;;4;65;27,5;27,5;80;;2;40;72,5;72,5;50
6;15;100;100;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
2;10;100;100;80;;4;65;27,5;27,5;80;;6;60;42,5;57,5;50
4;20;89;98;80;;8;70;38,5;38,5;80;;4;50;57,5;65;50
6;10;100;100;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
4;20;89;98;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
4;20;82;91;80;;4;80;16,5;16,5;80;;6;45;72,5;80;50
4;5;100;100;80;;6;75;27,5;27,5;80;;6;40;80;87,5;50
2;10;100;100;80;;4;80;16,5;16,5;80;;6;45;72,5;80;50
4;20;89;98;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
2;10;100;100;80;;4;80;5,5;11;80;;2;40;72,5;72,5;50
6;10;100;100;80;;4;80;16,5;16,5;80;;8;55;57,5;72,5;50
4;20;89;98;80;;4;65;27,5;27,5;80;;4;50;57,5;65;50
6;30;71;89;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
4;20;89;98;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
12;30;64;82;80;;4;80;16,5;16,5;80;;10;25;100;100;50
6;10;82;91;80;;4;80;16,5;16,5;80;;6;45;72,5;80;50
2;10;100;100;80;;4;80;16,5;16,5;80;;8;55;57,5;72,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
8;5;100;100;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
6;15;100;100;80;;4;80;5,5;11;80;;6;45;72,5;80;50
6;10;100;100;80;;4;65;27,5;27,5;80;;8;35;95;100;50
16;35;64;91;80;;4;65;27,5;27,5;80;;14;10;100;100;50
8;10;100;100;80;;6;70;33;33;80;;6;45;72,5;80;50
2;10;100;100;80;;4;80;16,5;16,5;80;;6;45;72,5;80;50
8;0;100;100;80;;4;65;27,5;27,5;80;;10;25;100;100;50
4;20;89;98;80;;6;70;22;27,5;80;;4;50;57,5;65;50
6;10;100;100;80;;4;80;16,5;16,5;80;;8;55;57,5;72,5;50
6;15;82;91;80;;4;65;27,5;27,5;80;;6;45;72,5;80;50
12;15;82;91;80;;4;65;27,5;27,5;80;;4;50;57,5;65;50
6;15;100;100;80;;4;80;16,5;16,5;80;;4;35;87,5;87,5;50
2;10;100;100;80;;4;80;5,5;11;80;;22;0;100;100;50
6;15;82;91;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
