DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk
;;;;
6; 45.0; 72.5; 80.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
6; 45.0; 72.5; 80.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
6; 30.0; 100.0; 100.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 35.0; 87.5; 87.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 35.0; 87.5; 87.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 35.0; 87.5; 87.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
8; 55.0; 57.5; 72.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
8; 40.0; 87.5; 95.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
8; 40.0; 87.5; 95.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
10; 50.0; 72.5; 87.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
6; 60.0; 42.5; 57.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
6; 40.0; 80.0; 87.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
8; 55.0; 57.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
10; 25.0; 100.0; 100.0; 50.0
6; 45.0; 72.5; 80.0; 50.0
8; 55.0; 57.5; 72.5; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
6; 45.0; 72.5; 80.0; 50.0
8; 35.0; 95.0; 100.0; 50.0
14; 10.0; 100.0; 100.0; 50.0
6; 45.0; 72.5; 80.0; 50.0
6; 45.0; 72.5; 80.0; 50.0
10; 25.0; 100.0; 100.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
8; 55.0; 57.5; 72.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 35.0; 87.5; 87.5; 50.0
22; 0.0; 100.0; 100.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
8; 30.0; 100.0; 100.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
12; 45.0; 70.0; 85.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
6; 60.0; 42.5; 57.5; 50.0
4; 35.0; 87.5; 87.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
4; 35.0; 87.5; 87.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
8; 50.0; 65.0; 80.0; 50.0
2; 60.0; 35.0; 42.5; 50.0
2; 40.0; 72.5; 72.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
6; 45.0; 72.5; 80.0; 50.0
10; 30.0; 100.0; 100.0; 50.0
6; 45.0; 72.5; 80.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
6; 45.0; 72.5; 80.0; 50.0
2; 40.0; 72.5; 72.5; 50.0
12; 10.0; 100.0; 100.0; 50.0
4; 50.0; 57.5; 65.0; 50.0
6; 60.0; 42.5; 57.5; 50.0
4; 50.0; 57.5; 65.0; 50.0
8; 35.0; 95.0; 100.0; 50.0
