DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

8, 0.0, 100.0, 100.0, 80.0
7, 5.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
8, 5.0, 100.0, 100.0, 80.0
10, 0.0, 100.0, 100.0, 80.0
5, 5.0, 100.0, 100.0, 80.0
7, 5.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
6, 5.0, 100.0, 100.0, 80.0
5, 5.0, 100.0, 100.0, 80.0
5, 5.0, 100.0, 100.0, 80.0
4, 10.0, 100.0, 99.80000000000001, 80.0
7, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
6, 5.0, 100.0, 100.0, 80.0
10, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
6, 10.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
7, 10.0, 100.0, 100.0, 80.0
7, 5.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
5, 5.0, 100.0, 100.0, 80.0
6, 10.0, 100.0, 100.0, 80.0
10, 0.0, 100.0, 100.0, 80.0
12, 0.0, 100.0, 100.0, 80.0
10, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
4, 10.0, 100.0, 99.80000000000001, 80.0
7, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
8, 10.0, 100.0, 100.0, 80.0
6, 10.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
5, 10.0, 100.0, 99.80000000000001, 80.0
10, 0.0, 100.0, 100.0, 80.0
12, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
5, 10.0, 100.0, 99.80000000000001, 80.0
7, 10.0, 100.0, 100.0, 80.0
5, 10.0, 100.0, 99.80000000000001, 80.0
5, 5.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
5, 10.0, 100.0, 99.80000000000001, 80.0
8, 10.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
6, 10.0, 100.0, 100.0, 80.0
7, 5.0, 100.0, 100.0, 80.0
7, 5.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
9, 5.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
10, 0.0, 100.0, 100.0, 80.0
6, 10.0, 100.0, 100.0, 80.0
10, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
5, 5.0, 100.0, 100.0, 80.0
8, 5.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
6, 5.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
5, 10.0, 100.0, 99.80000000000001, 80.0
4, 10.0, 100.0, 99.80000000000001, 80.0
5, 5.0, 100.0, 100.0, 80.0
6, 10.0, 100.0, 100.0, 80.0
6, 5.0, 100.0, 100.0, 80.0
6, 5.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
8, 5.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
4, 10.0, 100.0, 99.80000000000001, 80.0
7, 5.0, 100.0, 100.0, 80.0
6, 5.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
6, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
9, 5.0, 100.0, 100.0, 80.0
6, 5.0, 100.0, 100.0, 80.0
17, 0.0, 100.0, 100.0, 80.0
8, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
7, 0.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
8, 5.0, 100.0, 100.0, 80.0
9, 0.0, 100.0, 100.0, 80.0
7, 5.0, 100.0, 100.0, 80.0
