Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, N
4, 75.0, 12.5, 29.0, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, DU
4, 75.0, 12.5, 29.0, 50.0, N
5, 80.0, 5.0, 24.5, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, N
4, 75.0, 12.5, 29.0, 50.0, R
5, 80.0, 5.0, 24.5, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, N
4, 75.0, 12.5, 29.0, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, N
4, 75.0, 12.5, 29.0, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, DU
4, 75.0, 12.5, 29.0, 50.0, N
5, 80.0, 5.0, 24.5, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, N
4, 75.0, 12.5, 29.0, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, N
2, 65.0, 27.5, 38.0, 50.0, N
3, 70.0, 20.0, 33.5, 50.0, N
4, 75.0, 12.5, 29.0, 50.0, N
1, 60.0, 35.0, 42.5, 50.0, DU
2, 70.0, 20.0, 35.0, 50.0, N
3, 75.0, 12.5, 30.5, 50.0, N
4, 80.0, 5.0, 26.0, 50.0, N
5, 85.0, 0.0, 21.5, 50.0, Q
