DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

6, 55.0, 17.0, 44.0, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 55.0, 17.0, 45.800000000000004, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 50.0, 26.0, 49.4, 80.0
4, 45.0, 35.0, 54.8, 80.0
8, 70.0, 0.0, 29.60000000000001, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
7, 75.0, 0.0, 27.800000000000004, 80.0
5, 50.0, 26.0, 49.4, 80.0
7, 60.0, 8.0, 38.6, 80.0
5, 55.0, 17.0, 45.800000000000004, 80.0
6, 65.0, 0.0, 36.800000000000004, 80.0
5, 50.0, 26.0, 49.4, 80.0
7, 65.0, 0.0, 35.00000000000001, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
5, 55.0, 17.0, 45.800000000000004, 80.0
5, 50.0, 26.0, 49.4, 80.0
7, 60.0, 8.0, 38.6, 80.0
6, 55.0, 17.0, 44.0, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 50.0, 26.0, 49.4, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
6, 55.0, 17.0, 44.0, 80.0
7, 70.0, 0.0, 31.400000000000006, 80.0
6, 55.0, 17.0, 44.0, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
5, 50.0, 26.0, 49.4, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 50.0, 26.0, 49.4, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 50.0, 26.0, 49.4, 80.0
7, 60.0, 8.0, 38.6, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 55.0, 17.0, 44.0, 80.0
6, 55.0, 17.0, 44.0, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 50.0, 26.0, 49.4, 80.0
8, 70.0, 0.0, 29.60000000000001, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 50.0, 26.0, 49.4, 80.0
7, 60.0, 8.0, 38.6, 80.0
5, 50.0, 26.0, 49.4, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
5, 50.0, 26.0, 49.4, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
6, 55.0, 17.0, 44.0, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 55.0, 17.0, 45.800000000000004, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 55.0, 17.0, 45.800000000000004, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 50.0, 26.0, 49.4, 80.0
4, 45.0, 35.0, 54.8, 80.0
7, 60.0, 8.0, 38.6, 80.0
6, 55.0, 17.0, 44.0, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 55.0, 17.0, 44.0, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 55.0, 17.0, 44.0, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 55.0, 17.0, 44.0, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 55.0, 17.0, 44.0, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 55.0, 17.0, 44.0, 80.0
4, 45.0, 35.0, 54.8, 80.0
5, 50.0, 26.0, 49.4, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
4, 45.0, 35.0, 54.8, 80.0
4, 45.0, 35.0, 54.8, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
5, 55.0, 17.0, 45.800000000000004, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
5, 50.0, 26.0, 49.4, 80.0
5, 55.0, 17.0, 45.800000000000004, 80.0
6, 60.0, 8.0, 40.400000000000006, 80.0
4, 45.0, 35.0, 54.8, 80.0
